timestamp_ist,symbol,action,entry_price,quantity,stop_loss,target,confidence,ai_source,composite_score,status,pnl
2026-05-26 15:04:12,M&M,SELL,3105.5,3,3115.99,3084.53,0.8,groq,-1.0,OPEN,0.0
2026-05-26 15:05:34,NESTLEIND,BUY,1426.8,7,1420.42,1439.56,0.8,groq,1.0,OPEN,0.0
2026-05-26 15:38:14,RELIANCE,SELL,1362.2,7,1366.69,1353.23,0.7,fallback,-0.6,CLOSED,36.4
2026-05-26 15:38:14,M&M,SELL,3105.5,3,3115.99,3084.53,0.8,groq,-1.0,CLOSED,-16.5
2026-05-26 15:38:15,NESTLEIND,BUY,1426.8,7,1420.42,1439.56,0.8,groq,1.0,CLOSED,34.3
2026-05-27 09:58:45,COALINDIA,BUY,441.75,22,433.33,458.59,0.8,groq,0.7,OPEN,0.0
2026-05-27 10:52:26,ICICIBANK,BUY,1289.3,7,1281.97,1303.96,0.8,groq,1.0,OPEN,0.0
2026-05-27 11:26:17,DIVISLAB,BUY,6805.0,1,6764.13,6886.74,0.8,groq,1.0,OPEN,0.0
2026-05-27 11:42:58,HINDALCO,BUY,1145.6,8,1135.33,1166.15,0.8,groq,0.6,OPEN,0.0
2026-05-27 13:09:09,ICICIBANK,BUY,1289.3,7,1281.97,1303.96,0.8,groq,1.0,CLOSED,-51.31
2026-05-27 14:02:37,EICHERMOT,BUY,7404.0,1,7376.02,7459.96,0.8,groq,1.0,OPEN,0.0
2026-05-27 14:02:49,APOLLOHOSP,BUY,8281.5,1,8247.17,8350.16,0.8,groq,1.0,OPEN,0.0
2026-05-27 14:53:30,COALINDIA,BUY,441.75,22,433.33,458.59,0.8,groq,0.7,CLOSED,370.48
2026-05-27 15:45:33,DIVISLAB,BUY,6805.0,1,6764.13,6886.74,0.8,groq,1.0,CLOSED,-13.5
2026-05-27 15:45:34,HINDALCO,BUY,1145.6,8,1135.33,1166.15,0.8,groq,0.6,CLOSED,15.2
2026-05-27 15:45:34,EICHERMOT,BUY,7404.0,1,7376.02,7459.96,0.8,groq,1.0,CLOSED,22.0
2026-05-27 15:45:35,APOLLOHOSP,BUY,8281.5,1,8247.17,8350.16,0.8,groq,1.0,CLOSED,-6.5
2026-05-28 09:16:16,COALINDIA,BUY,463.05,21,456.06,477.02,0.8,groq,1.0,OPEN,0.0
2026-05-28 09:16:37,HINDALCO,BUY,1147.5,8,1142.05,1158.39,0.8,groq,0.6,OPEN,0.0
2026-05-28 09:35:39,POWERGRID,BUY,300.75,33,299.56,303.12,0.8,groq,1.0,OPEN,0.0
2026-05-28 10:27:54,BPCL,BUY,307.5,32,306.28,309.95,0.8,groq,1.0,OPEN,0.0
2026-05-28 15:23:30,COALINDIA,BUY,463.05,21,456.06,477.02,0.8,groq,1.0,CLOSED,11.55
2026-05-28 15:23:31,HINDALCO,BUY,1147.5,8,1142.05,1158.39,0.8,groq,0.6,CLOSED,0.0
2026-05-28 15:40:58,POWERGRID,BUY,300.75,33,299.56,303.12,0.8,groq,1.0,CLOSED,0.0
2026-05-28 15:40:59,BPCL,BUY,307.5,32,306.28,309.95,0.8,groq,1.0,CLOSED,0.0
2026-05-29 09:45:19,BAJFINANCE,BUY,932.85,10,926.38,945.79,0.8,groq,0.6,OPEN,0.0
2026-05-29 12:02:57,BAJFINANCE,BUY,932.85,10,926.38,945.79,0.8,groq,0.6,CLOSED,-64.7
2026-05-29 12:38:48,TECHM,BUY,1486.0,6,1478.67,1500.67,0.8,groq,1.0,OPEN,0.0
2026-05-29 12:55:28,HINDALCO,BUY,1146.4,8,1140.56,1158.09,0.8,groq,0.6,OPEN,0.0
2026-05-29 15:13:28,HINDALCO,BUY,1146.4,8,1140.56,1158.09,0.8,groq,0.6,CLOSED,-46.72
2026-05-29 15:30:24,TECHM,BUY,1486.0,6,1478.67,1500.67,0.8,groq,1.0,CLOSED,-45.0
2026-06-01 09:33:34,ASIANPAINT,BUY,2763.5,3,2707.94,2874.63,0.8,groq,0.6,OPEN,0.0
2026-06-01 09:51:08,COALINDIA,BUY,469.0,21,463.69,479.63,0.8,groq,1.0,OPEN,0.0
2026-06-01 11:34:42,ASIANPAINT,BUY,2763.5,3,2707.94,2874.63,0.8,groq,0.6,CLOSED,-166.68
2026-06-01 13:20:22,HDFCBANK,SELL,742.85,13,745.86,736.83,0.8,groq,-1.0,OPEN,0.0
2026-06-01 15:36:15,COALINDIA,BUY,469.0,21,463.69,479.63,0.8,groq,1.0,CLOSED,93.45
2026-06-01 15:36:16,HDFCBANK,SELL,742.85,13,745.86,736.83,0.8,groq,-1.0,CLOSED,4.55
2026-06-02 10:31:32,COALINDIA,BUY,473.15,21,468.73,481.98,0.8,groq,1.0,OPEN,0.0
2026-06-02 11:40:01,COALINDIA,BUY,473.15,21,468.73,481.98,0.8,groq,1.0,CLOSED,-92.82
2026-06-02 11:58:10,HEROMOTOCO,BUY,4841.7,2,4805.81,4913.49,0.8,groq,1.0,OPEN,0.0
2026-06-02 13:24:16,TATACONSUM,BUY,1155.0,8,1146.81,1171.38,0.8,groq,1.0,OPEN,0.0
2026-06-02 13:24:45,TCS,BUY,2438.6,4,2420.56,2474.67,0.8,groq,1.0,OPEN,0.0
2026-06-02 13:25:43,EICHERMOT,BUY,7145.5,1,7086.97,7262.56,0.8,groq,1.0,OPEN,0.0
2026-06-02 14:00:36,ASIANPAINT,BUY,2665.5,3,2646.41,2703.69,0.8,groq,1.0,OPEN,0.0
2026-06-02 15:43:01,HEROMOTOCO,BUY,4841.7,2,4805.81,4913.49,0.8,groq,1.0,CLOSED,64.4
2026-06-02 15:43:02,TATACONSUM,BUY,1155.0,8,1146.81,1171.38,0.8,groq,1.0,CLOSED,22.4
2026-06-02 15:43:03,TCS,BUY,2438.6,4,2420.56,2474.67,0.8,groq,1.0,CLOSED,57.6
2026-06-02 15:43:04,EICHERMOT,BUY,7145.5,1,7086.97,7262.56,0.8,groq,1.0,CLOSED,9.5
2026-06-02 15:43:04,ASIANPAINT,BUY,2665.5,3,2646.41,2703.69,0.8,groq,1.0,CLOSED,-7.5
2026-06-03 09:29:38,ASIANPAINT,BUY,2654.7,3,2632.96,2698.18,0.8,groq,0.6,OPEN,0.0
2026-06-03 10:39:11,M&M,BUY,3004.1,3,2976.97,3058.36,0.8,groq,1.0,OPEN,0.0
2026-06-03 10:39:33,TATACONSUM,BUY,1160.1,8,1150.12,1180.07,0.8,groq,0.6,OPEN,0.0
2026-06-03 12:04:35,TATACONSUM,BUY,1160.1,8,1150.12,1180.07,0.8,groq,0.6,CLOSED,-79.84
2026-06-03 12:23:53,ITC,SELL,276.45,36,277.93,273.49,0.8,groq,-0.6,OPEN,0.0
2026-06-03 12:56:22,ITC,SELL,276.45,36,277.93,273.49,0.8,groq,-0.6,CLOSED,-53.28
2026-06-03 14:06:46,BPCL,BUY,293.95,34,292.64,296.57,0.7,fallback,1.0,OPEN,0.0
2026-06-03 14:56:18,BPCL,BUY,293.95,34,292.64,296.57,0.7,fallback,1.0,CLOSED,-44.54
2026-06-03 14:57:54,EICHERMOT,BUY,7160.0,1,7116.27,7247.46,0.8,groq,1.0,OPEN,0.0
2026-06-03 15:13:31,EICHERMOT,BUY,7160.0,1,7116.27,7247.46,0.8,groq,1.0,CLOSED,-43.73
2026-06-03 15:30:06,ASIANPAINT,BUY,2654.7,3,2632.96,2698.18,0.8,groq,0.6,CLOSED,-14.1
2026-06-03 15:30:07,M&M,BUY,3004.1,3,2976.97,3058.36,0.8,groq,1.0,CLOSED,6.9
2026-06-04 13:39:14,TITAN,BUY,4211.0,2,4168.97,4295.06,0.8,groq,1.0,OPEN,0.0
2026-06-05 13:24:51,TITAN,BUY,4211.0,2,4168.97,4295.06,0.8,groq,1.0,CLOSED,50.8
2026-06-05 13:26:16,ASIANPAINT,BUY,2698.6,3,2686.46,2722.88,0.8,groq,1.0,OPEN,0.0
2026-06-08 14:01:23,ASIANPAINT,BUY,2698.6,3,2686.46,2722.88,0.8,groq,1.0,CLOSED,-36.42
2026-06-08 14:02:18,APOLLOHOSP,BUY,8436.5,1,8406.14,8497.22,0.8,groq,1.0,OPEN,0.0
2026-06-08 14:03:00,HCLTECH,BUY,1155.4,8,1150.93,1164.34,0.8,groq,1.0,OPEN,0.0
